date,store,item,price,total
06/01/2024,Wegmans Manhattan,Gldn Potato Pancak,10.98,
06/01/2024,Wegmans Manhattan,IC Basil Pesto Sau,3.99,
06/01/2024,Wegmans Manhattan,WB Rigatoni,0.99,
06/01/2024,Wegmans Manhattan,WB Spaghetti,0.99,
06/01/2024,Wegmans Manhattan,WEG Org Breast,11.72,
06/01/2024,Wegmans Manhattan,WBO Ground Beef,7.79,
06/01/2024,Wegmans Manhattan,WB 3OMO Prosciutto,14.70,
06/01/2024,Wegmans Manhattan,WEG Parmesan Regg,9.90,
06/01/2024,Wegmans Manhattan,1.75OZ Blck Tobiko,14.99,
06/01/2024,Wegmans Manhattan,EU Org Raw P&D 31,16.99,
06/01/2024,Wegmans Manhattan,WEG Sockeye Slmn F,25.98,
06/01/2024,Wegmans Manhattan,4PK Mini Chcvcann,8.50,
06/01/2024,Wegmans Manhattan,Apple Fritter 4 PK,5.00,
06/01/2024,Wegmans Manhattan,4PK FR Van Muffin,8.25,
06/01/2024,Wegmans Manhattan,Round Pumpernickel,6.00,
06/01/2024,Wegmans Manhattan,Radish Bunch,1.99,
06/01/2024,Wegmans Manhattan,WEG Org 3# Gala Bag,6.49,
06/01/2024,Wegmans Manhattan,Organic Caulif,4.99,
06/01/2024,Wegmans Manhattan,WEG Dutch Ylw Pot,3.99,
06/01/2024,Wegmans Manhattan,WBO Mini Cukes,3.99,
06/01/2024,Wegmans Manhattan,WB Shazam Peppers,2.99,
06/01/2024,Wegmans Manhattan,Green Onion Bunch,1.19,
06/01/2024,Wegmans Manhattan,Org Spin/Spring,4.99,
06/01/2024,Wegmans Manhattan,WBO Cherry Tom,5.99,
06/01/2024,Wegmans Manhattan,WEG Brazil Nuts,6.99,
06/01/2024,Wegmans Manhattan,Persimmon Fuyu,10.00,
06/01/2024,Wegmans Manhattan,Sweet Snap Peppers,3.99,
06/01/2024,Wegmans Manhattan,Blueberries 18oz,7.99,
06/01/2024,Wegmans Manhattan,WEG Brazil Nuts,6.99,207.35
01/05/2025,Wegmans Manhattan,MMFK Chili Noodles,12.29,
01/05/2025,Wegmans Manhattan,WEB Org Bnls Ckn T,20.90,
01/05/2025,Wegmans Manhattan,Fyega Lamb Bl Rib,12.53,
01/05/2025,Wegmans Manhattan,Fyega Lamb Bl Rib,12.97,
01/05/2025,Wegmans Manhattan,Tnbrln Stk PS,39.03,
01/05/2025,Wegmans Manhattan,WB Org Ribeve Stk,20.64,
01/05/2025,Wegmans Manhattan,Flounder Fzn 2lb,13.98,
01/05/2025,Wegmans Manhattan,4pk FR Van Muffin,8.25,
01/05/2025,Wegmans Manhattan,Round Pumpernickel,6.00,
01/05/2025,Wegmans Manhattan,WB Mini Cukes,2.99,
01/05/2025,Wegmans Manhattan,WB Mini Chase Cann,6.50,185.56
01/19/2025,Wegmans Manhattan,WB Old Berry Bland,11.49,
01/19/2025,Wegmans Manhattan,LW Hrshrdrm Patty,4.49,
01/19/2025,Wegmans Manhattan,WB Raspberklies,4.29,
01/19/2025,Wegmans Manhattan,Extra Polar Ice,1.99,
01/19/2025,Wegmans Manhattan,MMFK Sptcy Soy Ndl,12.29,
01/19/2025,Wegmans Manhattan,Chaora Snelwrseeds,13.99,
01/19/2025,Wegmans Manhattan,WEG Org Bnls Ckn T,23.96,
01/19/2025,Wegmans Manhattan,WED Sockeye Slmn F,53.96,
01/19/2025,Wegmans Manhattan,4pk MC Pecan Tub,14.69,
01/19/2025,Wegmans Manhattan,EU Org Raw P&D 31,41.22,
01/19/2025,Wegmans Manhattan,NDS 1/2 Sourdough,5.50,
01/19/2025,Wegmans Manhattan,4PK FR Van Muffin,8.25,
01/19/2025,Wegmans Manhattan,WB MC Pecan Tub,9.23,223.33
02/01/2025,Wegmans Manhattan,Gldn Potato Pancak,10.98,
02/01/2025,Wegmans Manhattan,OPG Bl Best FP,4.99,
02/01/2025,Wegmans Manhattan,Kikko Lessod Soy,4.99,
02/01/2025,Wegmans Manhattan,WBO Ground Beef,12.82,
02/01/2025,Wegmans Manhattan,Fyega Lamb Bl Rib,13.72,
02/01/2025,Wegmans Manhattan,Ribeye Stk SP KFP,19.67,
02/01/2025,Wegmans Manhattan,Ribeye Stk SP KFP,50.75,
02/01/2025,Wegmans Manhattan,Beef Breve Stk ABF,51.69,
02/01/2025,Wegmans Manhattan,WEG Sockeye Slmn F,26.98,
02/01/2025,Wegmans Manhattan,Beef Breve Stk ABF,11.49,
02/01/2025,Wegmans Manhattan,Dark Choc Pecans,1.02,213.00
02/16/2025,Wegmans Manhattan,Gldn Potato Pancak,16.47,
02/16/2025,Wegmans Manhattan,WBO Ground Beef,8.99,
02/16/2025,Wegmans Manhattan,Flyey Sauce Schuan,11.99,
02/16/2025,Wegmans Manhattan,UB Org Apl Cider V,5.99,
02/16/2025,Wegmans Manhattan,Ribeye Stk SP KFP,17.16,
02/16/2025,Wegmans Manhattan,Ribeye Stk SP KFP,13.22,
02/16/2025,Wegmans Manhattan,Fyfor Lamb Led Ste,18.18,
02/16/2025,Wegmans Manhattan,Ribeye Stk SP KFP,14.69,
02/16/2025,Wegmans Manhattan,WED Sockeye Slmn F,26.98,
02/16/2025,Wegmans Manhattan,4PK Blueberry Muffin,8.25,
02/16/2025,Wegmans Manhattan,Round Pumpernickel,6.00,
02/16/2025,Wegmans Manhattan,WED Sml Sockeye Slmn,26.98,
02/16/2025,Wegmans Manhattan,4PK SM Seve Slmn,6.50,201.65
03/23/2025,Wegmans Manhattan,Gldn Potato Pancak,10.98,
03/23/2025,Wegmans Manhattan,MMFK Spicy Soy Ndl,11.99,
03/23/2025,Wegmans Manhattan,Flyey Sauce Schuan,20.56,
03/23/2025,Wegmans Manhattan,Ribeye Stk SP KFP,8.96,
03/23/2025,Wegmans Manhattan,WBO Ground Beef,12.14,
03/23/2025,Wegmans Manhattan,WEG Org Breast,13.49,
03/23/2025,Wegmans Manhattan,Fyfor Lamb Bl Rib,14.43,
03/23/2025,Wegmans Manhattan,Fyfor Lamb Bl Rib,39.47,
03/23/2025,Wegmans Manhattan,WBO Ground Beef,4.99,
03/23/2025,Wegmans Manhattan,WEG Sockeye Slmn F,26.98,
03/23/2025,Wegmans Manhattan,Lbrm Scrub Sponge,4.99,
03/23/2025,Wegmans Manhattan,Salad Scrwd 12Z,14.00,
03/23/2025,Wegmans Manhattan,Honcy Pot Reg Pans,4.99,
03/23/2025,Wegmans Manhattan,WEG Sockeye 2lb,26.98,
03/23/2025,Wegmans Manhattan,MEG Sockeye Slmn F,20.98,
03/23/2025,Wegmans Manhattan,Cod Fzn 2lb,6.50,256.24
03/30/2025,Wegmans Manhattan,Gldn Potato Pancak,10.98,
03/30/2025,Wegmans Manhattan,Huy Fong Srirachha,3.99,
03/30/2025,Wegmans Manhattan,Bndrtin Burrito,3.99,
03/30/2025,Wegmans Manhattan,WBO Ground Beef,8.99,
03/30/2025,Wegmans Manhattan,Fyfor Org Thigh,22.04,
03/30/2025,Wegmans Manhattan,Ribeye Stk SP KFP,10.52,
03/30/2025,Wegmans Manhattan,Ribeye Stk SP KFP,20.39,
03/30/2025,Wegmans Manhattan,WBO Org Thigh,16.18,
03/30/2025,Wegmans Manhattan,WEG Liq HS Cuchmbe,1.49,
03/30/2025,Wegmans Manhattan,WEG Org Breast,10.62,
03/30/2025,Wegmans Manhattan,MEG Sockeye Slmn F,26.98,
03/30/2025,Wegmans Manhattan,EU Org Raw P&D 31,16.99,
03/30/2025,Wegmans Manhattan,WEG 2# Bag Lemons,6.99,
03/30/2025,Wegmans Manhattan,WEG Sockeye 2lb,4.99,
03/30/2025,Wegmans Manhattan,Cod Fzn 2lb,4.10,
03/30/2025,Wegmans Manhattan,WEG Liq HS Cuchmbe,0.13,175.03
04/26/2025,Wegmans Manhattan,Lucini Olive Oil,22.99,
04/26/2025,Wegmans Manhattan,WBO Spaghetti,3.49,
04/26/2025,Wegmans Manhattan,WBO Sardines EVOO,3.49,
04/26/2025,Wegmans Manhattan,MB Cornichons,3.28,
04/26/2025,Wegmans Manhattan,FF Msrbl Seaweed SN,7.99,
04/26/2025,Wegmans Manhattan,WBO Ground Beef,8.99,
04/26/2025,Wegmans Manhattan,WEG Org Thigh,12.63,
04/26/2025,Wegmans Manhattan,Ribeye Stk SP KFP,24.36,
04/26/2025,Wegmans Manhattan,Fyfor Lamb Bl Rib,14.62,
04/26/2025,Wegmans Manhattan,Ribeye Stk SP KFP,10.35,
04/26/2025,Wegmans Manhattan,Fyfor Lamb Bl Rib,15.99,
04/26/2025,Wegmans Manhattan,BE Organic Chicken,13.04,
04/26/2025,Wegmans Manhattan,WEG Org Breast,3.49,
04/26/2025,Wegmans Manhattan,WEG Thermal Bag,1.49,
04/26/2025,Wegmans Manhattan,MEG Sockeye Slmn F,20.98,
04/26/2025,Wegmans Manhattan,WEG Liq HS Cuchmbe,1.49,
04/26/2025,Wegmans Manhattan,Mahi Fzn 2lb,9.99,
04/26/2025,Wegmans Manhattan,EU Org Raw P&D 26,17.99,
04/26/2025,Wegmans Manhattan,WEG Smk Sal Nova,22.99,
04/26/2025,Wegmans Manhattan,WEG 2# Bag Lemons,22.99,
04/26/2025,Wegmans Manhattan,Meg 24 Bag Lemons,11.99,
04/26/2025,Wegmans Manhattan,Dried Apricot Tub,4.99,
04/26/2025,Wegmans Manhattan,WEG Brazil Nuts,6.99,
04/26/2025,Wegmans Manhattan,Garlic 0.24lb @ $4.49/lb,1.08,
04/26/2025,Wegmans Manhattan,Dried Apricot Tub,1.33,301.28
05/03/2025,Wegmans Manhattan,Gldn Potato Pancak,5.49,
05/03/2025,Wegmans Manhattan,Falafel Love Falaf,7.99,
05/03/2025,Wegmans Manhattan,WB Jlpno Pierogie,4.49,
05/03/2025,Wegmans Manhattan,WB Chickn Dmpling,4.49,
05/03/2025,Wegmans Manhattan,WB Jasmine Rice,6.99,
05/03/2025,Wegmans Manhattan,Lucini Olive Oil,22.99,
05/03/2025,Wegmans Manhattan,WB IC Vodka Blush,2.99,
05/03/2025,Wegmans Manhattan,Org IC Rstd Garlic,3.99,
05/03/2025,Wegmans Manhattan,Kikko Lesssod Soy,4.99,
05/03/2025,Wegmans Manhattan,WB Ssnd Breadcrumb,3.49,
05/03/2025,Wegmans Manhattan,WB Tomato Puree,1.99,
05/03/2025,Wegmans Manhattan,WB Coarse Grnd Tmt,1.99,
05/03/2025,Wegmans Manhattan,WBO Spaghetti x3,5.97,
05/03/2025,Wegmans Manhattan,Fyfga Black Beans,0.89,
05/03/2025,Wegmans Manhattan,WB Gnocchi,2.99,
05/03/2025,Wegmans Manhattan,Fyfgr Garban Beans,0.89,
05/03/2025,Wegmans Manhattan,MMFK Soy Noodles,12.29,
05/03/2025,Wegmans Manhattan,So Garlic Powder,6.99,
05/03/2025,Wegmans Manhattan,WB Sardines,1.39,
05/03/2025,Wegmans Manhattan,Ko 2 Layer Sardine,3.99,
05/03/2025,Wegmans Manhattan,Season Sardine NSA,2.99,
05/03/2025,Wegmans Manhattan,Daelmans Mini Crml,5.29,
05/03/2025,Wegmans Manhattan,Icebreakers Cubes,4.79,
05/03/2025,Wegmans Manhattan,WEG Org Bnls Ckn T,21.26,
05/03/2025,Wegmans Manhattan,Ribeye Stk SP KFP,23.58,
05/03/2025,Wegmans Manhattan,WBO Ground Beef,8.99,
05/03/2025,Wegmans Manhattan,WB Mild Brie,7.56,
05/03/2025,Wegmans Manhattan,WEG Liq HS Cuc Mel,5.99,
05/03/2025,Wegmans Manhattan,WEG Sockeye Slmn F,26.98,
05/03/2025,Wegmans Manhattan,Mahi Fzn 2lb,20.98,
05/03/2025,Wegmans Manhattan,EU Org Raw P&D 26,17.99,
05/03/2025,Wegmans Manhattan,Smk Scott Slm 12oz,22.99,
05/03/2025,Wegmans Manhattan,Cannoli Chip & Dip,16.00,
05/03/2025,Wegmans Manhattan,4PK Bluebry Muffin,8.50,
05/03/2025,Wegmans Manhattan,Baby Medley Potato,3.99,
05/03/2025,Wegmans Manhattan,WEG Green Beans,2.99,
05/03/2025,Wegmans Manhattan,WB Bag Pet Shai Bo,4.29,
05/03/2025,Wegmans Manhattan,Persimmon Fuyu,10.00,
05/03/2025,Wegmans Manhattan,Sweet Snap Peppers,3.99,
05/03/2025,Wegmans Manhattan,Blueberries 18oz,7.99,
05/03/2025,Wegmans Manhattan,WEG Brazil Nuts,6.99,342.37
05/17/2025,Wegmans Manhattan,Gldn Potato Pancak,10.98,
05/17/2025,Wegmans Manhattan,WBO Spaghetti x2,3.98,
05/17/2025,Wegmans Manhattan,Lucini Olive Oil,22.99,
05/17/2025,Wegmans Manhattan,MMFK Spicy Soy Ndl,12.29,
05/17/2025,Wegmans Manhattan,Daelmans Mini Crml,10.58,
05/17/2025,Wegmans Manhattan,Fly By Jing Sauce,11.99,
05/17/2025,Wegmans Manhattan,Ko 2 Layer Sardine,11.97,
05/17/2025,Wegmans Manhattan,WB Chip SC&O,2.99,
05/17/2025,Wegmans Manhattan,Ribeye Stk SP KFP,29.43,
05/17/2025,Wegmans Manhattan,WBO Ground Beef,8.99,
05/17/2025,Wegmans Manhattan,WEG Liq Cuchmbe,1.49,
05/17/2025,Wegmans Manhattan,Mahi Fzn 2lb,20.98,
05/17/2025,Wegmans Manhattan,EU Org Raw P&D 26,17.99,
05/17/2025,Wegmans Manhattan,WEG Smk Sal Nova,22.99,189.77
10/18/2025,Wegmans Manhattan,Gldn Potato Pancak,5.49,
10/18/2025,Wegmans Manhattan,Lucini Olive Oil,23.99,
10/18/2025,Wegmans Manhattan,Daelmans Mini Crml,5.29,
10/18/2025,Wegmans Manhattan,WEG Org Thigh,11.75,
10/18/2025,Wegmans Manhattan,WBO Ground Beef,17.98,
10/18/2025,Wegmans Manhattan,Ribeye Stk SP KFP,26.24,
10/18/2025,Wegmans Manhattan,WEG Sockeye Slmn F,25.98,
10/18/2025,Wegmans Manhattan,Cod Fzn 2lb,22.98,
10/18/2025,Wegmans Manhattan,WB Mini Chase Cann,6.50,
10/18/2025,Wegmans Manhattan,Butternut Squash 4.72lb @ $0.99/lb,4.67,
10/18/2025,Wegmans Manhattan,WBO Mini Cukes,3.99,158.86
01/16/2026,Wegmans Manhattan,Gldn Potato Pancak,5.49,
01/16/2026,Wegmans Manhattan,Strip Stk KFP PP,12.88,
01/16/2026,Wegmans Manhattan,Fyega Ground Beef,9.99,
01/16/2026,Wegmans Manhattan,VRG Ground Beef,52.32,
01/16/2026,Wegmans Manhattan,Salmon Combo x2,17.99,
01/16/2026,Wegmans Manhattan,King Salmon Combo,16.99,
01/16/2026,Wegmans Manhattan,Atlantic Combo,17.99,
01/16/2026,Wegmans Manhattan,Meghan Sushi Combo,29.97,
01/16/2026,Wegmans Manhattan,EU Org Raw P&D 31,17.49,
01/16/2026,Wegmans Manhattan,Cod Fzn 2lb,24.98,
01/16/2026,Wegmans Manhattan,WED Sockete Sets,6.50,
01/16/2026,Wegmans Manhattan,Sumo Citrus 3lb,9.99,
01/16/2026,Wegmans Manhattan,WB Mini Chase Cann,6.30,264.84
03/09/2026,Wegmans Manhattan,Lucini Olive Oil,23.99,
03/09/2026,Wegmans Manhattan,S&B Nektamsbi Tub,3.49,
03/09/2026,Wegmans Manhattan,WBO Ground Beef,17.98,
03/09/2026,Wegmans Manhattan,Atlantic Combo,35.98,
03/09/2026,Wegmans Manhattan,King Salmon Combo,35.98,
03/09/2026,Wegmans Manhattan,WEG 17 Ang Salmon,22.99,
03/09/2026,Wegmans Manhattan,Cod Fzn 2lb,24.98,
03/09/2026,Wegmans Manhattan,EU Org Raw P&D 31 x2,15.99,
03/09/2026,Wegmans Manhattan,Mini Chase Cann,9.99,
03/09/2026,Wegmans Manhattan,Sumo Citrus 3lb,9.99,
03/09/2026,Wegmans Manhattan,Bananas 2.78lb @ $0.69/lb,1.64,
03/09/2026,Wegmans Manhattan,WED Sal Nova,22.99,
03/09/2026,Wegmans Manhattan,WBO Mini Sal Cakes,3.99,
03/09/2026,Wegmans Manhattan,Dried Apricot Tub,6.50,
03/09/2026,Wegmans Manhattan,Paper Bag Fee,0.03,224.27
04/12/2026,Wegmans Manhattan,WBO SFT 100% WBRD,2.99,
04/12/2026,Wegmans Manhattan,Fishlite Srdines,15.98,
04/12/2026,Wegmans Manhattan,Strip Stk KFP PP,16.99,
04/12/2026,Wegmans Manhattan,Nigtrl - 9PC,54.71,
04/12/2026,Wegmans Manhattan,King Salmon Combo,23.98,
04/12/2026,Wegmans Manhattan,WEG Sockeye Slmn F,22.59,
04/12/2026,Wegmans Manhattan,WEG Smk Sal Nova,17.89,
04/12/2026,Wegmans Manhattan,Mahi FZN 2lb,7.89,228.98
05/01/2026,Wegmans Manhattan,WBO SFT 100% WBRD,2.99,
05/01/2026,Wegmans Manhattan,Fyega Strip Stk KFP PP,11.99,
05/01/2026,Wegmans Manhattan,Sauerkraut Dill,12.15,
05/01/2026,Wegmans Manhattan,Flyey Sauce Schuan,11.99,
05/01/2026,Wegmans Manhattan,WBO Ground Beef,17.98,
05/01/2026,Wegmans Manhattan,Org Grown Thlons,12.45,
05/01/2026,Wegmans Manhattan,Atlantic Salmon Combo x3,53.97,
05/01/2026,Wegmans Manhattan,WBO Ground Beef,35.88,
05/01/2026,Wegmans Manhattan,Cod Fzn 2lb,24.98,
05/01/2026,Wegmans Manhattan,WEG Smk Sal Nova,30.00,
05/01/2026,Wegmans Manhattan,JUB Bergdorf Cod GT,6.50,
05/01/2026,Wegmans Manhattan,WED Sml Sockeye 2lb,22.99,
05/01/2026,Wegmans Manhattan,SMK Scott Slm M 20Z,8.65,
05/01/2026,Wegmans Manhattan,WBO Mini Chase Cann,3.99,
05/01/2026,Wegmans Manhattan,WBO Mini Cukes,6.50,296.82
