date,store,item,price,subtotal,tax,total
02/29/2025,Whole Foods Manhattan,Yello Grwn Onion,4.40,,,
02/29/2025,Whole Foods Manhattan,365WFM OG Corn Sugar,2.99,,,
02/29/2025,Whole Foods Manhattan,WFK Inly Chli Moddles,9.08,,,
02/29/2025,Whole Foods Manhattan,Savings with Prime,-3.91,55.27,0.44,55.71
03/15/2025,Whole Foods Manhattan,Rose 24 Stem,24.99,,,
03/15/2025,Whole Foods Manhattan,Dekgon Citrus,3.99,,,
03/15/2025,Whole Foods Manhattan,OG Grnd Beef,4.99,,,
03/15/2025,Whole Foods Manhattan,Koygl 310 BLK Stlk,3.49,,,
03/15/2025,Whole Foods Manhattan,OG Crimini Potato,8.49,,,
03/15/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,4.99,,,
03/15/2025,Whole Foods Manhattan,Savings with Prime,-5.00,62.66,5.22,58.67
03/22/2025,Whole Foods Manhattan,Hads WFM Aresta Pasta Sce,5.29,,,
03/22/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
03/22/2025,Whole Foods Manhattan,Banana,1.38,,,
03/22/2025,Whole Foods Manhattan,OG Avocado Hass,4.99,,,
03/22/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
03/22/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
03/22/2025,Whole Foods Manhattan,Savings with Prime,-3.71,77.83,0.00,77.83
04/05/2025,Whole Foods Manhattan,Mini Sols Cucumbers,2.99,,,
04/05/2025,Whole Foods Manhattan,Frst Jumbo Blueberry,5.99,,,
04/05/2025,Whole Foods Manhattan,Aore Gestoito Pepper PP,3.99,,,
04/05/2025,Whole Foods Manhattan,Malk OG HPP Almond Milk,12.59,,,
04/05/2025,Whole Foods Manhattan,Savings with Prime,-1.23,25.56,0.00,25.56
04/12/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
04/12/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
04/12/2025,Whole Foods Manhattan,Broccoli Crowns,3.39,,,
04/12/2025,Whole Foods Manhattan,Banana,1.38,,,
04/12/2025,Whole Foods Manhattan,OG Avocado Hass,4.99,,,
04/12/2025,Whole Foods Manhattan,Savings with Prime,-2.00,36.05,0.00,36.05
04/19/2025,Whole Foods Manhattan,Framles OG Hads Aresia Pasta Sce,7.99,,,
04/19/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
04/19/2025,Whole Foods Manhattan,Broccoli Crowns,3.39,,,
04/19/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
04/19/2025,Whole Foods Manhattan,Satfr Wild Arugula,3.08,,,
04/19/2025,Whole Foods Manhattan,Savings with Prime,-4.00,56.96,0.00,56.96
04/26/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
04/26/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
04/26/2025,Whole Foods Manhattan,Dekgon Citrus,3.99,,,
04/26/2025,Whole Foods Manhattan,Banana,1.53,,,
04/26/2025,Whole Foods Manhattan,OG Avocado Hass,4.99,,,
04/26/2025,Whole Foods Manhattan,Savings with Prime,-2.00,37.79,0.00,37.79
05/03/2025,Whole Foods Manhattan,Malk OG HPP Almond Milk,6.69,,,
05/03/2025,Whole Foods Manhattan,OG Bosc Pear,9.74,,,
05/03/2025,Whole Foods Manhattan,Banana 1.87lb @ $0.59/lb,1.10,,,
05/03/2025,Whole Foods Manhattan,NZBA MY GTO BAR 6GT,13.38,,,
05/03/2025,Whole Foods Manhattan,OG Cosmic Cls Hals Pecan,3.77,,,
05/03/2025,Whole Foods Manhattan,Hlite Donut Peach,4.07,,,
05/03/2025,Whole Foods Manhattan,Frst Jumbo Blueberry,5.02,,,
05/03/2025,Whole Foods Manhattan,Savings with Prime,-1.78,64.26,5.02,64.26
05/12/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
05/12/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
05/12/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
05/12/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
05/12/2025,Whole Foods Manhattan,Banana,1.38,,,
05/12/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.83,0.00,35.83
05/17/2025,Whole Foods Manhattan,Pols Spring Water,2.39,,,
05/17/2025,Whole Foods Manhattan,Container Deposit,0.05,,,
05/17/2025,Whole Foods Manhattan,OG Cauliflower,4.99,,,
05/17/2025,Whole Foods Manhattan,Russet Potato,2.38,,,
05/17/2025,Whole Foods Manhattan,OG Sols Baby Cucumber,3.99,,,
05/17/2025,Whole Foods Manhattan,Gala Apples,1.73,,,
05/17/2025,Whole Foods Manhattan,365WFM OG XTR FR Tofu,4.78,,,
05/17/2025,Whole Foods Manhattan,Banana,1.08,,,
05/17/2025,Whole Foods Manhattan,Asian Brown Pear x2,6.98,,,
05/17/2025,Whole Foods Manhattan,Dec Fusilli Pasta,2.40,,,
05/17/2025,Whole Foods Manhattan,Lamai 4Nuts Chz Psto,5.66,,,
05/17/2025,Whole Foods Manhattan,Satfr Wild Arugula Clam,3.99,,,
05/17/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,14.99,,,
05/17/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
05/17/2025,Whole Foods Manhattan,Frst Jumbo Blueberry,5.99,,,
05/17/2025,Whole Foods Manhattan,Savings with Prime,-3.62,87.43,0.21,87.43
05/25/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
05/25/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
05/25/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
05/25/2025,Whole Foods Manhattan,Banana,1.38,,,
05/25/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
05/25/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.83,0.00,35.83
06/07/2025,Whole Foods Manhattan,Pols Spring Water,2.39,,,
06/07/2025,Whole Foods Manhattan,OG Cauliflower,4.99,,,
06/07/2025,Whole Foods Manhattan,OG Sols Baby Cucumber,3.99,,,
06/07/2025,Whole Foods Manhattan,Banana,1.08,,,
06/07/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,14.99,,,
06/07/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
06/07/2025,Whole Foods Manhattan,Frst Jumbo Blueberry,5.99,,,
06/07/2025,Whole Foods Manhattan,Savings with Prime,-2.00,51.11,0.21,51.11
06/14/2025,Whole Foods Manhattan,Banana 2.10lb @ $0.59/lb,1.24,,,
06/14/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
06/14/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
06/14/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
06/14/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
06/14/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.69,0.00,35.69
06/20/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
06/20/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
06/20/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
06/20/2025,Whole Foods Manhattan,Banana,1.38,,,
06/20/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
06/20/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.83,0.00,35.83
06/29/2025,Whole Foods Manhattan,OG Yellow Onion,5.12,,,
06/29/2025,Whole Foods Manhattan,OG Grnd Beef,4.99,,,
06/29/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
06/29/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
06/29/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
06/29/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.35,0.00,35.35
07/07/2025,Whole Foods Manhattan,OG Retm item,19.72,,,
07/07/2025,Whole Foods Manhattan,OG Grnd Beef,4.99,,,
07/07/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
07/07/2025,Whole Foods Manhattan,Carry Out Bag Charge,0.05,,,
07/07/2025,Whole Foods Manhattan,Savings with Prime,-1.90,36.49,0.00,36.49
07/12/2025,Whole Foods Manhattan,Malk OG HPP Almond Milk,6.69,,,
07/12/2025,Whole Foods Manhattan,Banana 2.48lb @ $0.59/lb,1.46,,,
07/12/2025,Whole Foods Manhattan,Broccoli Crowns 1.20lb @ $2.99/lb,3.59,,,
07/12/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
07/12/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
07/12/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
07/12/2025,Whole Foods Manhattan,Savings with Prime,-2.00,46.21,0.00,46.21
07/19/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
07/19/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
07/19/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
07/19/2025,Whole Foods Manhattan,Banana,1.38,,,
07/19/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
07/19/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.83,0.00,35.83
07/26/2025,Whole Foods Manhattan,Hads WFM Aresta Pasta Sce,5.29,,,
07/26/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
07/26/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
07/26/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
07/26/2025,Whole Foods Manhattan,Banana,1.38,,,
07/26/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.91,0.00,35.91
08/02/2025,Whole Foods Manhattan,Banana,1.36,,,
08/02/2025,Whole Foods Manhattan,OG Bosc Pear,9.93,,,
08/02/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
08/02/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
08/02/2025,Whole Foods Manhattan,Frst Jumbo Blueberry,13.99,,,
08/02/2025,Whole Foods Manhattan,Savings with Prime,-3.24,69.76,0.00,69.76
08/09/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
08/09/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
08/09/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
08/09/2025,Whole Foods Manhattan,Banana,1.38,,,
08/09/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
08/09/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.83,0.00,35.83
08/16/2025,Whole Foods Manhattan,Pols Spring Water,2.39,,,
08/16/2025,Whole Foods Manhattan,Container Deposit,0.05,,,
08/16/2025,Whole Foods Manhattan,OG Cauliflower,4.99,,,
08/16/2025,Whole Foods Manhattan,Russet Potato,2.38,,,
08/16/2025,Whole Foods Manhattan,Malk OG HPP Almond Milk,13.38,,,
08/16/2025,Whole Foods Manhattan,OG Sols Baby Cucumber,3.99,,,
08/16/2025,Whole Foods Manhattan,Gala Apples,1.73,,,
08/16/2025,Whole Foods Manhattan,365WFM OG XTR FR Tofu,4.78,,,
08/16/2025,Whole Foods Manhattan,Banana,1.08,,,
08/16/2025,Whole Foods Manhattan,Asian Brown Pear x2,6.98,,,
08/16/2025,Whole Foods Manhattan,Dec Fusilli Pasta,2.40,,,
08/16/2025,Whole Foods Manhattan,Lamai 4Nuts Chz Psto,5.66,,,
08/16/2025,Whole Foods Manhattan,Satfr Wild Arugula Clam,3.99,,,
08/16/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,14.99,,,
08/16/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
08/16/2025,Whole Foods Manhattan,Frst Jumbo Blueberry,5.99,,,
08/16/2025,Whole Foods Manhattan,Savings with Prime,-3.62,89.14,0.21,85.73
08/23/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
08/23/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
08/23/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
08/23/2025,Whole Foods Manhattan,Banana,1.38,,,
08/23/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
08/23/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.83,0.00,35.83
09/06/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
09/06/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
09/06/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
09/06/2025,Whole Foods Manhattan,Banana,1.38,,,
09/06/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
09/06/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.83,0.00,35.83
09/13/2025,Whole Foods Manhattan,Pols Spring Water,2.39,,,
09/13/2025,Whole Foods Manhattan,Container Deposit,0.05,,,
09/13/2025,Whole Foods Manhattan,OG Grnd Beef,4.99,,,
09/13/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,14.99,,,
09/13/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
09/13/2025,Whole Foods Manhattan,Frst Jumbo Blueberry,5.99,,,
09/13/2025,Whole Foods Manhattan,Savings with Prime,-2.00,40.11,0.21,40.11
09/20/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
09/20/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
09/20/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
09/20/2025,Whole Foods Manhattan,Banana,1.38,,,
09/20/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
09/20/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.83,0.00,35.83
10/04/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
10/04/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
10/04/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
10/04/2025,Whole Foods Manhattan,Banana,1.38,,,
10/04/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
10/04/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.83,0.00,35.83
10/11/2025,Whole Foods Manhattan,Pols Spring Water,2.39,,,
10/11/2025,Whole Foods Manhattan,Container Deposit,0.05,,,
10/11/2025,Whole Foods Manhattan,OG Cauliflower,4.99,,,
10/11/2025,Whole Foods Manhattan,Malk OG HPP Almond Milk,6.69,,,
10/11/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,14.99,,,
10/11/2025,Whole Foods Manhattan,Frst Jumbo Blueberry,5.99,,,
10/11/2025,Whole Foods Manhattan,Savings with Prime,-2.05,43.21,0.00,43.21
10/18/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
10/18/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
10/18/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
10/18/2025,Whole Foods Manhattan,Banana,1.38,,,
10/18/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
10/18/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.83,0.00,35.83
10/25/2025,Whole Foods Manhattan,Pols Spring Water,2.39,,,
10/25/2025,Whole Foods Manhattan,Container Deposit,0.05,,,
10/25/2025,Whole Foods Manhattan,OG Grnd Beef,4.99,,,
10/25/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,14.99,,,
10/25/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
10/25/2025,Whole Foods Manhattan,Frst Jumbo Blueberry,5.99,,,
10/25/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.17,0.00,35.17
11/01/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
11/01/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
11/01/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
11/01/2025,Whole Foods Manhattan,Banana,1.38,,,
11/01/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
11/01/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.83,0.00,35.83
11/08/2025,Whole Foods Manhattan,Pols Spring Water,2.39,,,
11/08/2025,Whole Foods Manhattan,Container Deposit,0.05,,,
11/08/2025,Whole Foods Manhattan,OG Cauliflower,4.99,,,
11/08/2025,Whole Foods Manhattan,Malk OG HPP Almond Milk,6.69,,,
11/08/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,14.99,,,
11/08/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
11/08/2025,Whole Foods Manhattan,Frst Jumbo Blueberry,5.99,,,
11/08/2025,Whole Foods Manhattan,Savings with Prime,-2.05,41.16,0.00,41.16
11/15/2025,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
11/15/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,15.99,,,
11/15/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
11/15/2025,Whole Foods Manhattan,Banana,1.38,,,
11/15/2025,Whole Foods Manhattan,OG Grnd Beef,5.21,,,
11/15/2025,Whole Foods Manhattan,Savings with Prime,-2.00,35.83,0.00,35.83
12/07/2025,Whole Foods Manhattan,Banana 2.59lb @ $0.59/lb,1.53,,,
12/07/2025,Whole Foods Manhattan,365WFM OG Carrot 2lb,2.99,,,
12/07/2025,Whole Foods Manhattan,ENZMD Papaya Gold Enzyms,19.07,,,
12/07/2025,Whole Foods Manhattan,OG Bosc Pear 3.47lb @ $2.99/lb,10.38,,,
12/07/2025,Whole Foods Manhattan,Sunst Mini Cucumber,2.99,,,
12/07/2025,Whole Foods Manhattan,Malk OG HPP Almond Milk,6.69,,,
12/07/2025,Whole Foods Manhattan,Broccoli Crowns 1.26lb @ $2.69/lb,3.39,,,
12/07/2025,Whole Foods Manhattan,Green Asparagus 1.16lb @ $4.99/lb,5.79,,,
12/07/2025,Whole Foods Manhattan,Red Bell Pepper 0.72lb @ $3.29/lb,2.37,,,
12/07/2025,Whole Foods Manhattan,Frst Jumbo Blueberry,5.99,,,
12/07/2025,Whole Foods Manhattan,Savings with Prime,-8.42,69.61,0.00,61.19
11/03/2025,Whole Foods Manhattan,Pols Spring Water,2.39,,,
11/03/2025,Whole Foods Manhattan,Container Deposit,0.05,,,
11/03/2025,Whole Foods Manhattan,OG Cauliflower,4.99,,,
11/03/2025,Whole Foods Manhattan,LNCFFC OG Yllw Onion Bag,5.99,,,
11/03/2025,Whole Foods Manhattan,Russet Potato 2.00lb @ $1.19/lb,2.38,,,
11/03/2025,Whole Foods Manhattan,Malk OG HPP Almond Milk,13.38,,,
11/03/2025,Whole Foods Manhattan,OG Sols Baby Cucumber,3.99,,,
11/03/2025,Whole Foods Manhattan,Gala Apples 0.87lb @ $1.99/lb,1.73,,,
11/03/2025,Whole Foods Manhattan,365WFM OG XTR FR Tofu,4.78,,,
11/03/2025,Whole Foods Manhattan,Banana 1.83lb @ $0.59/lb,1.08,,,
11/03/2025,Whole Foods Manhattan,Asian Brown Pear x2 @ $3.49,6.98,,,
11/03/2025,Whole Foods Manhattan,Dec Fusilli Pasta,2.40,,,
11/03/2025,Whole Foods Manhattan,Lamai 4Nuts Chz Psto,5.66,,,
11/03/2025,Whole Foods Manhattan,Satfr Wild Arugula Clam,3.99,,,
11/03/2025,Whole Foods Manhattan,Vilfr OG Large Eggs,14.99,,,
11/03/2025,Whole Foods Manhattan,Broccoli Crowns,2.96,,,
11/03/2025,Whole Foods Manhattan,Frst Jumbo Blueberry,5.99,,,
11/03/2025,Whole Foods Manhattan,Savings with Prime,-3.62,89.14,0.21,85.73
12/03/2025,Whole Foods Manhattan,Banana 3.11lb @ $0.59/lb,1.83,,,
12/03/2025,Whole Foods Manhattan,Lucni XV Olive Oil,26.77,,,
12/03/2025,Whole Foods Manhattan,OG Bosc Pear,9.93,,,
12/03/2025,Whole Foods Manhattan,Malk OG HPP Almond Milk,6.69,,,
12/03/2025,Whole Foods Manhattan,Dec Fusilli Pasta,3.39,,,
12/03/2025,Whole Foods Manhattan,365WFM Tater Puffs,4.99,,,
12/03/2025,Whole Foods Manhattan,Lamai 4Nuts Chz Psto,7.79,,,
12/03/2025,Whole Foods Manhattan,365WFM Baking Soda x2,1.98,,,
12/03/2025,Whole Foods Manhattan,Savings with Prime,-8.22,71.59,0.00,63.37
