date,store,item,price,subtotal,tax,total
12/31/2024,Whole Foods Manhattan,Savings with Prime,-6.22,70.30,0.88,64.96
06/20/2024,Whole Foods Manhattan,365WFM OG item,3.99,,,
06/20/2024,Whole Foods Manhattan,Leeuwn Cook Som item,4.99,,,
06/20/2024,Whole Foods Manhattan,Leeuwn Honeycomb item,4.99,,,
06/20/2024,Whole Foods Manhattan,Krygl OG Irish Btr,13.99,,,
06/20/2024,Whole Foods Manhattan,Carry Out Bag Charge,0.05,27.76,0.05,27.81
07/17/2024,Whole Foods Manhattan,Adob New Spny Clm,2.79,,,
07/17/2024,Whole Foods Manhattan,Acor 1 29 New Mlk,3.57,,,
07/17/2024,Whole Foods Manhattan,1.29 Alght 0 1lb @ $2.99/lb,3.88,,,
07/17/2024,Whole Foods Manhattan,Local OG Blueberry,8.83,,,
07/17/2024,Whole Foods Manhattan,Alnkd Pesto 1PT,5.59,,,
07/17/2024,Whole Foods Manhattan,Lamai 4Nuts Chz Psto,7.79,,,
07/17/2024,Whole Foods Manhattan,Vilfr OG Large Eggs,15.29,,,
07/17/2024,Whole Foods Manhattan,Savings with Prime,-2.00,65.98,0.00,65.98
05/10/2024,Whole Foods Manhattan,Satfr Wild Arugula Clam,3.08,,,
05/10/2024,Whole Foods Manhattan,OG Green Asparagus 1lb @ $5.99/lb,5.29,,,
05/10/2024,Whole Foods Manhattan,Broccoli Crowns,3.39,,,
05/10/2024,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
05/10/2024,Whole Foods Manhattan,Vilfr OG Large Eggs,5.99,,,
05/10/2024,Whole Foods Manhattan,Maks Grmzd OG Pasta SCE,5.79,,,
05/10/2024,Whole Foods Manhattan,Smpl 0 OG Garlic Powder,3.69,,,
05/10/2024,Whole Foods Manhattan,Smpl 0 OG BLK Poblanos,5.49,,,
05/10/2024,Whole Foods Manhattan,OG GAD Bay Brazil Nuts,15.11,,,
05/10/2024,Whole Foods Manhattan,Savings with Prime,-5.14,77.22,0.00,77.22
01/05/2024,Whole Foods Manhattan,Navel Orange,4.41,,,
01/05/2024,Whole Foods Manhattan,Broccoli Crowns,3.39,,,
01/05/2024,Whole Foods Manhattan,Almond Milk,4.69,,,
01/05/2024,Whole Foods Manhattan,OG Avocado Hass,2.99,,,
01/05/2024,Whole Foods Manhattan,Banana,1.51,,,
01/05/2024,Whole Foods Manhattan,Savings with Prime,-2.00,71.59,0.00,71.59
01/17/2024,Whole Foods Manhattan,SP100 Shrcomp Wfr,7.28,,,
01/17/2024,Whole Foods Manhattan,Malk OG HPP Almond Milk,3.19,,,
01/17/2024,Whole Foods Manhattan,Container Deposit,0.05,,,
01/17/2024,Whole Foods Manhattan,OG Nbs Almond Milk,4.99,,,
01/17/2024,Whole Foods Manhattan,Banana 2.39lb @ $0.59/lb,1.41,,,
01/17/2024,Whole Foods Manhattan,Prime Extra 10.00,0.57,14.67,0.00,14.67
02/22/2024,Whole Foods Manhattan,WFM 1 LLN Spring Wtr,3.99,,,
02/22/2024,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
02/22/2024,Whole Foods Manhattan,Vilfr OG Large Eggs,12.99,,,
02/22/2024,Whole Foods Manhattan,2.26lb Almnsn Lemon Soap,9.75,,,
02/22/2024,Whole Foods Manhattan,Container Deposit,0.30,,,
02/22/2024,Whole Foods Manhattan,Malk OG HPP Almond Milk,6.79,,,
02/22/2024,Whole Foods Manhattan,Alnkd Grns Sss Grape,5.99,,,
02/22/2024,Whole Foods Manhattan,Rads Abnkta Sauce,3.99,,,
02/22/2024,Whole Foods Manhattan,Drscl OG Blueberry 1PT,4.99,,,
02/22/2024,Whole Foods Manhattan,Savings with Prime,-4.93,112.19,0.22,114.41
02/14/2024,Whole Foods Manhattan,Banana 1.38lb @ $0.59/lb,0.81,,,
02/14/2024,Whole Foods Manhattan,Broccoli Crowns,4.38,,,
02/14/2024,Whole Foods Manhattan,Celery Bunch,1.19,,,
02/14/2024,Whole Foods Manhattan,Vilfr OG Large Eggs,12.99,,,
02/14/2024,Whole Foods Manhattan,Frxm Peppermint x2,2.29,,,
02/14/2024,Whole Foods Manhattan,183 Mni Choc Ice Cream,5.69,,,
02/14/2024,Whole Foods Manhattan,Clrn Madzcd OG 1lb @ $5.69/lb,5.69,,,
02/14/2024,Whole Foods Manhattan,Prime Extra 10.00,-0.78,36.61,3.31,66.92
11/02/2024,Whole Foods Manhattan,Hads Aresia Pasta Sce,3.99,,,
11/02/2024,Whole Foods Manhattan,Bads Grmzd OG Pasta Sce,5.99,,,
11/02/2024,Whole Foods Manhattan,Vilas Mzzi Internationl Clam,5.99,,,
11/02/2024,Whole Foods Manhattan,OG Vell New Almond Milk,4.79,,,
11/02/2024,Whole Foods Manhattan,Navel Orange,3.57,,,
11/02/2024,Whole Foods Manhattan,Hads Grn Asparagus,3.08,,,
11/02/2024,Whole Foods Manhattan,Maval Orange,3.99,,,
11/02/2024,Whole Foods Manhattan,Oregon OG Grnd Beef,6.45,,,
11/02/2024,Whole Foods Manhattan,Banana 0.28lb @ $0.59/lb,0.42,,,
11/02/2024,Whole Foods Manhattan,Savings with Prime,-1.03,46.55,5.15,46.65
06/30/2024,Whole Foods Manhattan,WFM 1 LLN Spring Wtr,2.27,,,
06/30/2024,Whole Foods Manhattan,OG Vell New Almond Milk,3.99,,,
06/30/2024,Whole Foods Manhattan,OG Red Bell Pepper Bunch,5.25,,,
06/30/2024,Whole Foods Manhattan,Vilfr OG Large Eggs,12.99,,,
06/30/2024,Whole Foods Manhattan,OG Nbs Almond Milk,3.99,,,
06/30/2024,Whole Foods Manhattan,Container Deposit,0.10,,,
06/30/2024,Whole Foods Manhattan,OG Sols Baby Cucumber,4.99,,,
06/30/2024,Whole Foods Manhattan,Savings with Prime,-4.00,89.63,0.19,89.22
06/10/2024,Whole Foods Manhattan,OG Vell New Almond Milk,3.19,,,
06/10/2024,Whole Foods Manhattan,Salmon Baja,4.59,,,
06/10/2024,Whole Foods Manhattan,Drscl OG Blueberries,11.69,,,
06/10/2024,Whole Foods Manhattan,Prime Extra,-1.49,40.05,11.63,55.99
08/10/2024,Whole Foods Manhattan,Hads Aresia Pasta Sce,1.92,,,
08/10/2024,Whole Foods Manhattan,OG Vell New Almond Milk,5.99,,,
08/10/2024,Whole Foods Manhattan,Vilas ARESTA Pasta Sce,5.99,,,
08/10/2024,Whole Foods Manhattan,Oregon OG Grnd Beef,4.79,,,
08/10/2024,Whole Foods Manhattan,Mavel Orange,3.79,,,
08/10/2024,Whole Foods Manhattan,Banana 2.34lb @ $0.59/lb,1.38,,,
08/10/2024,Whole Foods Manhattan,OG 2.15 @ $1.99/lb,4.28,,,
08/10/2024,Whole Foods Manhattan,Alnkd Grns 365 Alm MK,6.29,,,
08/10/2024,Whole Foods Manhattan,Vilfr OG Large Eggs,5.49,,,
08/10/2024,Whole Foods Manhattan,Gaby 2 1.46 @ $3.49,5.10,,,
08/10/2024,Whole Foods Manhattan,Savings with Prime,-1.50,59.46,0.97,60.97
09/14/2024,Whole Foods Manhattan,Banana 2.34lb @ $0.59/lb,1.38,,,
09/14/2024,Whole Foods Manhattan,Broccoli Crowns,3.39,,,
09/14/2024,Whole Foods Manhattan,Celery Bunch,2.29,,,
09/14/2024,Whole Foods Manhattan,Vilfr OG Large Eggs,12.99,,,
09/14/2024,Whole Foods Manhattan,183 Mni Choc Ice Cream,4.38,,,
09/14/2024,Whole Foods Manhattan,Clrn OG 1lb,4.79,,,
09/14/2024,Whole Foods Manhattan,OG Frxm Peppermint,12.39,,,
09/14/2024,Whole Foods Manhattan,Savings with Prime,-0.92,36.92,3.00,66.61
10/05/2024,Whole Foods Manhattan,Acor GY C Clam Shamonix,11.49,,,
10/05/2024,Whole Foods Manhattan,Adore Grsy C Clam Shamonix,14.99,,,
10/05/2024,Whole Foods Manhattan,Yellow Peach Body Wash,12.29,,,
10/05/2024,Whole Foods Manhattan,Lamai 4Nuts Chz Psto,8.99,,,
10/05/2024,Whole Foods Manhattan,Doral OG Ulma Pads,2.50,,,
10/05/2024,Whole Foods Manhattan,Jumbo Blueberry WFI,9.99,,,
10/05/2024,Whole Foods Manhattan,Tars Mght 0 1lb @ $2.99/lb,2.99,,,
10/05/2024,Whole Foods Manhattan,Savings with Prime,-2.50,95.98,0.88,95.90
11/25/2024,Whole Foods Manhattan,Lucni NY Olive Oil,34.99,,,
11/25/2024,Whole Foods Manhattan,Malk OG HPP Almond Milk,6.69,,,
11/25/2024,Whole Foods Manhattan,OG Bosc Pear,10.38,,,
11/25/2024,Whole Foods Manhattan,Banana,1.53,,,
11/25/2024,Whole Foods Manhattan,OG Avocado Hass,4.99,,,
11/25/2024,Whole Foods Manhattan,Dec Fusilli Pasta,3.39,,,
11/25/2024,Whole Foods Manhattan,365WFM Tater Puffs,4.99,,,
11/25/2024,Whole Foods Manhattan,Lamai 4Nuts Chz Psto,7.79,,,
11/25/2024,Whole Foods Manhattan,Savings with Prime,-8.22,88.54,0.00,80.32
03/15/2024,Whole Foods Manhattan,Vilfr Large Eggs,1.27,,,
03/15/2024,Whole Foods Manhattan,Bile Lge Bag Egg,10.59,,,
03/15/2024,Whole Foods Manhattan,Elk Navel WF Spring,3.99,,,
03/15/2024,Whole Foods Manhattan,Container Deposit,0.05,,,
03/15/2024,Whole Foods Manhattan,OG Kashmr Spcy MK,6.79,,,
03/15/2024,Whole Foods Manhattan,Garny Smth Apple,5.29,,,
03/15/2024,Whole Foods Manhattan,Container Deposit,0.10,,,
03/15/2024,Whole Foods Manhattan,WB OG Sprnk Mxx,6.99,,,
03/15/2024,Whole Foods Manhattan,MB OG Spring Mxx,6.99,,,
03/15/2024,Whole Foods Manhattan,Banana 2lb @ $0.59/lb,1.67,,,
03/15/2024,Whole Foods Manhattan,Bag Fee,0.00,116.56,0.00,116.06
04/14/2024,Whole Foods Manhattan,365PM OG 0.89 Alm,3.99,,,
04/14/2024,Whole Foods Manhattan,Navel Orange,3.99,,,
04/14/2024,Whole Foods Manhattan,Broccoli Crowns 1.26lb @ $2.99/lb,3.77,,,
04/14/2024,Whole Foods Manhattan,Yelon Peach,3.28,,,
04/14/2024,Whole Foods Manhattan,Savings with Prime,-1.00,14.03,0.00,14.03
05/13/2024,Whole Foods Manhattan,Vilfr OG Large Eggs,12.92,,,
05/13/2024,Whole Foods Manhattan,Malk OG Sprk Mtr S62,6.38,,,
05/13/2024,Whole Foods Manhattan,OG Orange Eggs,6.79,,,
05/13/2024,Whole Foods Manhattan,Container Deposit,0.05,,,
05/13/2024,Whole Foods Manhattan,Garny Out Bag Charge,0.10,,,
05/13/2024,Whole Foods Manhattan,1 Each,1.00,46.21,0.17,46.43
07/03/2024,Whole Foods Manhattan,Satfr Wild Arugula,3.08,,,
07/03/2024,Whole Foods Manhattan,OG Green Asparagus,5.29,,,
07/03/2024,Whole Foods Manhattan,Broccoli Crowns,3.39,,,
07/03/2024,Whole Foods Manhattan,OG Pasta Sce,5.29,,,
07/03/2024,Whole Foods Manhattan,Vilfr OG Large Eggs,12.99,,,
07/03/2024,Whole Foods Manhattan,Maks Grmzd OG Pasta Sce,5.79,,,
07/03/2024,Whole Foods Manhattan,Smpl 0 OG Garlic Powder,3.69,,,
07/03/2024,Whole Foods Manhattan,Smpl 0 OG BLK Poblanos,5.49,,,
07/03/2024,Whole Foods Manhattan,OG GAD Bay Brazil Nuts,15.11,,,
07/03/2024,Whole Foods Manhattan,Savings with Prime,-5.14,77.22,0.00,77.22
08/19/2024,Whole Foods Manhattan,Acor GY C Clam Shamonix,11.49,,,
08/19/2024,Whole Foods Manhattan,Swen Lnkr Rng OG 1lb,3.99,,,
08/19/2024,Whole Foods Manhattan,Malk OG HPP Almond Milk,6.69,,,
08/19/2024,Whole Foods Manhattan,Brwn Brocolini,3.37,,,
08/19/2024,Whole Foods Manhattan,Broccoli Crown,4.79,,,
08/19/2024,Whole Foods Manhattan,OG Blueberries 6oz,3.99,,,
08/19/2024,Whole Foods Manhattan,Ottito Blueberries Pint,5.29,,,
08/19/2024,Whole Foods Manhattan,Savings with Prime,-1.06,29.95,0.00,29.95
10/28/2024,Whole Foods Manhattan,Lucni NY Olive Oil,34.99,,,
10/28/2024,Whole Foods Manhattan,Malk OG HPP Almond Milk,6.69,,,
10/28/2024,Whole Foods Manhattan,OG Bosc Pear,10.38,,,
10/28/2024,Whole Foods Manhattan,Banana,1.38,,,
10/28/2024,Whole Foods Manhattan,OG Avocado Hass,3.99,,,
10/28/2024,Whole Foods Manhattan,Dec Fusilli Pasta,2.40,,,
10/28/2024,Whole Foods Manhattan,Savings with Prime,-3.30,74.41,0.00,74.41
09/21/2024,Whole Foods Manhattan,OG Fuyu item,5.76,,,
09/21/2024,Whole Foods Manhattan,OG Green Romain,1.81,,,
09/21/2024,Whole Foods Manhattan,Satfr Wild Arugula,3.08,,,
09/21/2024,Whole Foods Manhattan,Banana,1.53,,,
09/21/2024,Whole Foods Manhattan,Prime Extra,-2.00,71.50,0.00,70.90
04/28/2024,Whole Foods Manhattan,OG Vell New item,3.19,,,
04/28/2024,Whole Foods Manhattan,Navel Orange,3.41,,,
04/28/2024,Whole Foods Manhattan,365WFM OG item,4.75,,,
04/28/2024,Whole Foods Manhattan,Banana 2lb @ $0.59/lb,1.18,,,
04/28/2024,Whole Foods Manhattan,Container Deposit,0.05,,,
04/28/2024,Whole Foods Manhattan,Bag Fee,0.00,32.24,0.00,32.24
06/18/2024,Whole Foods Manhattan,WFM 1 LLN Spring Wtr,2.68,,,
06/18/2024,Whole Foods Manhattan,Banana 1lb @ $0.59/lb,0.59,,,
06/18/2024,Whole Foods Manhattan,Container Deposit,0.05,32.24,0.00,32.24
03/16/2024,Whole Foods Manhattan,Acor Grsy Clam Sham,11.49,,,
03/16/2024,Whole Foods Manhattan,Yellow Peach,12.29,,,
03/16/2024,Whole Foods Manhattan,Lamai 4Nuts Chz Psto,7.79,,,
03/16/2024,Whole Foods Manhattan,Doral Adults,2.64,,,
03/16/2024,Whole Foods Manhattan,Jumbo Blueberry,8.99,,,
03/16/2024,Whole Foods Manhattan,OG Fuyu Persimmon,5.20,,,
03/16/2024,Whole Foods Manhattan,Svrno Pasta Bar,7.83,,,
03/16/2024,Whole Foods Manhattan,Belgian Waffle,1.69,,,
03/16/2024,Whole Foods Manhattan,Savings with Prime,-4.00,66.18,0.88,56.18
02/08/2024,Whole Foods Manhattan,OG Fuyu item,1.99,,,
02/08/2024,Whole Foods Manhattan,Lucni OG Olive Oil,17.68,,,
02/08/2024,Whole Foods Manhattan,OG Vell New Almond Milk,3.19,,,
02/08/2024,Whole Foods Manhattan,Satfr Wild Arugula Clam,3.08,,,
02/08/2024,Whole Foods Manhattan,OG Green Asparagus,5.29,,,
02/08/2024,Whole Foods Manhattan,Vilfr OG Large Eggs,12.99,,,
02/08/2024,Whole Foods Manhattan,Maks Grmzd OG Pasta Sce,5.79,,,
02/08/2024,Whole Foods Manhattan,Savings with Prime,-2.00,71.50,0.00,71.50
11/17/2024,Whole Foods Manhattan,OG Vell New Almond Milk,5.29,,,
11/17/2024,Whole Foods Manhattan,Vilfr OG Large Eggs,14.99,,,
11/17/2024,Whole Foods Manhattan,Malk OG HPP Almond Milk,6.69,,,
11/17/2024,Whole Foods Manhattan,OG Bosc Pear,9.93,,,
11/17/2024,Whole Foods Manhattan,Banana,1.53,,,
11/17/2024,Whole Foods Manhattan,Dec Fusilli Pasta,3.39,,,
11/17/2024,Whole Foods Manhattan,Savings with Prime,-4.00,56.82,0.00,56.82
07/27/2024,Whole Foods Manhattan,Acor GY C Clam,11.49,,,
07/27/2024,Whole Foods Manhattan,Yellow Peach Body Wash,12.29,,,
07/27/2024,Whole Foods Manhattan,Lamai 4Nuts Chz Psto,7.79,,,
07/27/2024,Whole Foods Manhattan,Jumbo Blueberry,8.99,,,
07/27/2024,Whole Foods Manhattan,OG Fuyu Persimmon,5.20,,,
07/27/2024,Whole Foods Manhattan,Savings with Prime,-2.50,59.25,0.88,59.25
